# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
50 0.004017487804623081 7.969536522532099e-05 0.20000000000000001 37.482545999999999 11049.506805592187 260.39301278018314 2376.4491859182754 1382.7329382779108 0 24552.611624859488 nan nan nan nan nan nan nan nan nan nan 8563.4022608619525 86635.772409304991 36471.93618263572 0 982022.77060921676 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
51 0.0040972808677115528 7.9793063088471459e-05 0.20000000000000001 38.206181999999998 11018.452984183972 260.36118985074592 2372.6570037967144 1380.1311087523909 0 24483.24896207959 nan nan nan nan nan nan nan nan nan nan 8608.5485149211163 87759.196463758839 30904.575539995232 0 890839.82567836193 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
52 0.0041771756926741862 7.9894824962633421e-05 0.20000000000000001 38.993524999999998 11047.850250587038 261.44424659860175 2384.0731427294295 1379.8716139466235 0 24548.29469193413 nan nan nan nan nan nan nan nan nan nan 9680.7638753929459 101498.39719026414 30546.270435465034 0 1045994.7247932663 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
53 0.0042571709535284708 7.9995260854284308e-05 0.20000000000000001 39.744374000000001 11080.118398557619 261.71551224999087 2391.9368421876652 1379.6697571966511 0 24620.149738069937 nan nan nan nan nan nan nan nan nan nan 10180.83713820803 108592.95018504019 31366.19368939758 0 1138348.1369857069 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
54 0.0043372619054853684 8.0090951956897602e-05 0.20000000000000001 40.463068999999997 11080.163478574375 261.20180772345259 2389.1256109832607 1380.5371744533591 0 24620.480968092503 nan nan nan nan nan nan nan nan nan nan 10259.471909519727 110001.78459492483 31970.131471973713 0 1173656.2541364913 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
55 0.004417156586989544 7.9894681504176054e-05 0.20000000000000001 41.264001999999998 11061.547292881134 260.89078824893426 2384.2562138422836 1379.6039983352946 0 24579.119058142998 nan nan nan nan nan nan nan nan nan nan 10156.227497209009 108394.34101571153 31318.106627740006 0 1175990.0084815668 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
56 0.0044968830802389207 7.9726493249376634e-05 0.20000000000000001 41.967782999999997 11119.802296946107 262.80638170913619 2396.7965165606374 1389.8102861064071 0 24708.394165716396 nan nan nan nan nan nan nan nan nan nan 9980.284083012044 105585.53767284955 45739.921779908807 0 1163691.0110440052 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
57 0.004576568264672393 7.9685184433472665e-05 0.20000000000000001 42.709853000000003 11126.476610026777 263.26576492333214 2400.6318193311695 1387.9607274949415 0 24723.139602229538 nan nan nan nan nan nan nan nan nan nan 9618.3204969470899 101078.56753575613 43790.190347620694 0 1128688.7525206895 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
58 0.0046562908626741079 7.972259800171536e-05 0.20000000000000001 43.449354 11129.200891892133 263.16507070359978 2401.5733072252578 1386.1221215416713 0 24729.282596149464 nan nan nan nan nan nan nan nan nan nan 9014.6256421368998 93705.612234051456 40254.7651817226 0 1059633.4165446493 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
59 0.0047360910516811216 7.9800189007013872e-05 0.20000000000000001 44.142443999999998 11102.154875678567 262.4968488000689 2395.5409184293849 1383.8209310479181 0 24669.145367463811 nan nan nan nan nan nan nan nan nan nan 8391.9999835638082 87860.845723245555 35971.460885346401 0 932823.98058323923 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
60 0.0048159883407013857 7.9897289020264438e-05 0.20000000000000001 44.915146 11081.544004510652 262.4460230157772 2393.5488374359261 1382.3097655597808 0 24623.045168690656 nan nan nan nan nan nan nan nan nan nan 9613.285279702046 103293.42673940565 30738.764354238752 0 1053226.0876851405 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
61 0.0048959895542331341 8.0001213531748756e-05 0.20000000000000001 45.715609000000001 11103.108750787398 263.25833283230611 2402.6004156992358 1381.3924847895096 0 24670.733283684571 nan nan nan nan nan nan nan nan nan nan 10228.301443406732 111997.51167071681 30955.83778498607 0 1163616.366494962 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
62 0.004976094687820511 8.0105133587377101e-05 0.20000000000000001 46.428232999999999 11127.284120371662 263.54069726644695 2409.0531603967238 1380.7474663887913 0 24724.538521127237 nan nan nan nan nan nan nan nan nan nan 10334.80844423033 114022.9707141181 31452.944649684527 0 1207554.382080208 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
63 0.0050562992671318785 8.0204579311367858e-05 0.20000000000000001 47.156095000000001 11127.602557635879 263.15462625777752 2406.9751301475412 1381.4658632087398 0 24725.421449145048 nan nan nan nan nan nan nan nan nan nan 10208.740239008152 112442.16671535319 31831.277762580972 0 1210469.1849577571 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
64 0.0051362797167979627 7.9980449666084346e-05 0.20000000000000001 47.894342999999999 11110.749680912761 262.79197225219491 2402.3954626434775 1380.8703276710839 0 24687.981406305018 nan nan nan nan nan nan nan nan nan nan 9969.5380923940811 109148.80810395537 31005.65612320388 0 1191475.6339457843 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
65 0.0052160943474372379 7.9814630639275669e-05 0.20000000000000001 48.658990000000003 11168.543063269521 264.54441889333231 2414.1158795837164 1391.7306895021991 0 24816.263160250386 nan nan nan nan nan nan nan nan nan nan 9727.4124349741414 105407.19435815178 45263.375539019573 0 1166785.6212216511 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
66 0.0052958676163337741 7.977326889653584e-05 0.20000000000000001 49.431947000000001 11170.524472473808 264.88331117409018 2417.2074054350583 1389.6383863822023 0 24820.534548964602 nan nan nan nan nan nan nan nan nan nan 9269.4436985187258 99195.626985509603 43239.774045083221 0 1113232.470190885 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
67 0.0053756753653428852 7.9807749009110923e-05 0.20000000000000001 50.174675000000001 11169.157564446312 264.84701930087442 2418.7876653364856 1386.9421530209613 0 24817.455897970252 nan nan nan nan nan nan nan nan nan nan 8378.3451295608193 87933.130479854648 39868.200199439336 0 1005821.0367512284 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
68 0.0054555593618246618 7.988399648177651e-05 0.20000000000000001 50.904553 11151.281201070997 264.4072499356796 2415.7556455670997 1385.1388135607936 0 24777.630356050122 nan nan nan nan nan nan nan nan nan nan 9332.9445069591529 102885.59640012661 35526.133837134192 0 1041539.378566788 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
69 0.0055355429512977125 7.9983589473051097e-05 0.20000000000000001 51.645190999999997 11141.208952682351 264.34985791213188 2414.8301966909689 1384.6424995831655 0 24755.083600318667 nan nan nan nan nan nan nan nan nan nan 10009.664158565767 112902.61604561502 30809.846273188305 0 1167804.8940789308 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
70 0.0056156350224143663 8.0092071116653302e-05 0.20000000000000001 52.325445000000002 11156.867631493642 264.90929856262437 2420.8881912967772 1384.0735043773916 0 24789.754752651508 nan nan nan nan nan nan nan nan nan nan 10169.116272347575 115967.7645953966 30980.125966055908 0 1222852.1443688392 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
71 0.0056957385115059015 8.0103489091535435e-05 0.20000000000000001 53.042836999999999 11172.326218592114 265.09732215303762 2425.3948898125536 1382.815913618587 0 24824.169046727537 nan nan nan nan nan nan nan nan nan nan 10071.566797679945 114983.01573265698 31585.264284746409 0 1231062.6832576876 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
72 0.0057758762662372858 8.0137754731384521e-05 0.20000000000000001 53.796602 11168.850484752322 264.73258658694925 2423.5439326712813 1382.2807850356423 0 24816.562152101029 nan nan nan nan nan nan nan nan nan nan 9841.4066699110754 111910.76109546736 31821.244979064963 0 1212909.0716371231 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
